"target_word_unique","avgRT_related","avgRT_unrelated","avgZ_RT_related","avgZ_RT_unrelated","seRT_related","seRT_unrelated","seZ_RT_related","seZ_RT_unrelated","target_sample_keep_related","target_sample_keep_unrelated","avgRT_prime","avgZ_prime"
"autobús",537.236738566755,563.540965262914,-0.564331923729706,-0.532476552756472,13.9797410193745,15.819535182826,0.0461282272503092,0.0450062430869904,153,144,26.3042266961587,0.0318553709732337
"autoridad",574.818967393193,573.367048080867,-0.469220220105,-0.392223028818087,18.5648338735671,14.2513295337524,0.0596188470460922,0.0506931272575994,92,104,-1.4519193123258,0.0769971912869133
"ayer",457.447697646505,525.228766684857,-0.924630212916268,-0.605967563832286,11.6651226504127,11.6755384566864,0.045281371802791,0.0470224143996002,86,90,67.7810690383515,0.318662649083982
"ayudar",532.095041231571,531.832037368222,-0.62952629394294,-0.643778289410263,14.4285073637997,14.7443598572774,0.0606488787230542,0.050656406897418,97,107,-0.263003863349468,-0.014251995467323
"azul",474.853238108327,508.482819666472,-0.794929314259983,-0.703458866860045,14.9929156842457,14.6863279825575,0.0518311536687743,0.0505631930282711,126,122,33.6295815581445,0.0914704473999371
"baile",516.195221067163,594.847101098063,-0.63794678230363,-0.402903594421685,16.2374711098639,24.3257770284683,0.0550810318016094,0.0760886263625903,95,89,78.6518800309005,0.235043187881945
"bala",570.318989477192,619.153079205448,-0.433341039446866,-0.259693115500762,18.8860803300134,18.8807978284996,0.0684193929548683,0.0686758519027237,95,101,48.8340897282554,0.173647923946104
"banda",571.3325065858,587.804037316268,-0.403953413692713,-0.383776145104026,13.2545943750911,16.5504742505918,0.0476313554997055,0.0585954185069562,152,134,16.4715307304681,0.0201772685886879
"bar",521.984782030902,537.059545457264,-0.692892047847511,-0.578526212029286,21.9438194685561,17.3867933665196,0.0621692812739137,0.0549174519089878,78,88,15.0747634263622,0.114365835818224
"barato",485.410355553291,514.684353531815,-0.694058977695565,-0.62987368131466,13.8521906237451,14.3074495665623,0.059764176673447,0.056924084354945,90,99,29.2739979785242,0.0641852963809052
"barba",536.452880265504,582.563479351005,-0.618712637848183,-0.47735772168352,11.2988247708351,13.3152712930149,0.0431643096372298,0.0457866748467203,142,121,46.1105990855008,0.141354916164663
"barco",580.546747227913,563.163790008592,-0.492273598745172,-0.523345142961303,18.3993233068403,15.8187362926642,0.0659744591172221,0.0550988193158573,91,100,-17.382957219321,-0.0310715442161315
"basura",513.627692285661,580.27167443466,-0.675447962942267,-0.473865284340105,13.9519002809561,18.9793501887844,0.046414449857277,0.0595012264359107,91,86,66.6439821489988,0.201582678602162
"batalla",518.688897678395,591.194927085758,-0.701231142442406,-0.195105717328234,15.4540419562991,18.257463814903,0.0552863638967759,0.0821487483460569,88,96,72.506029407363,0.506125425114173
"batallón",621.265320517835,620.279357140056,-0.368274230581371,-0.221773521180463,29.5389918118093,22.6908086851533,0.0729375583268842,0.0752408225806442,78,70,-0.985963377779626,0.146500709400908
