"target_word_unique","avgRT_related","avgRT_unrelated","avgZ_RT_related","avgZ_RT_unrelated","seRT_related","seRT_unrelated","seZ_RT_related","seZ_RT_unrelated","target_sample_keep_related","target_sample_keep_unrelated","avgRT_prime","avgZ_prime"
"东方",468.961736841116,640.561137257932,-0.758913341739409,-0.123818802735135,15.1692429250248,28.0998522746179,0.0563682622295168,0.100914316727739,57,51,171.599400416816,0.635094539004274
"个人",511.795000007799,585.382347821066,-0.633428277691391,-0.467594661545041,16.3992227034852,19.4882489068959,0.0641674863458603,0.0726933067605215,47,46,73.5873478132667,0.16583361614635
"中午",507.962439013527,553.62465909305,-0.718053341428011,-0.519697970486959,13.044669321416,15.5703909163,0.0506028335890246,0.0541282186757588,82,44,45.6622200795231,0.198355370941052
"中尉",608.525823527754,699.063169230362,-0.347976014297404,0.0532574406906879,32.6761944615776,20.034603047784,0.0975020647047421,0.0707649568223066,34,65,90.5373457026078,0.401233454988092
"主页",595.34059181883,633.491630434938,-0.318651309218071,-0.252087979497456,24.0925487509731,26.6375953465433,0.0885244988738903,0.0872886724843256,49,46,38.1510386161083,0.0665633297206151
"主题",527.642999980609,548.043775877021,-0.609798372156897,-0.473985420343796,19.2040004175272,15.4237573157432,0.0711441869149178,0.0607740087050786,54,58,20.4007758964123,0.135812951813102
"义务",565.107032783432,593.000509092812,-0.538244942133133,-0.459193806571154,33.4931900509192,31.7619519338456,0.0946867491517902,0.0616505278706745,61,55,27.8934763093799,0.0790511355619791
"乐师",618.466538475013,770.57454411349,-0.207811452905499,0.407150971918491,28.7420586089442,24.298260223615,0.0975313094887943,0.0957261533981301,52,68,152.108005638478,0.61496242482399
"乐队",536.279755557287,548.130288899046,-0.556675174390379,-0.489517273951798,22.1152449486312,19.4220490260189,0.066958092235287,0.0702946750154003,45,45,11.8505333417592,0.0671579004385809
"书房",527.62990000063,559.158603776345,-0.623430442573354,-0.481073040152501,18.5832333599336,22.9270279121607,0.0612315978326537,0.0804327072206099,50,53,31.5287037757149,0.142357402420853
"书籍",541.577673457342,567.376340902745,-0.499376527981478,-0.439428895794887,23.2170612549465,24.2972129042711,0.0734118342477849,0.0658240085662208,49,44,25.7986674454031,0.0599476321865907
"买方",615.086702121326,720.943000007493,-0.38830405623387,0.186896197699231,41.2906819563501,36.1474382976399,0.122513621443299,0.13747308475691,47,34,105.856297886167,0.5752002539331
"争议",565.814782603718,576.60390243117,-0.471273892630048,-0.442153419729557,25.7706788056169,28.6550971099712,0.0874475979944083,0.087522682684051,46,41,10.7891198274518,0.0291204729004902
"事件",552.178928577406,570.269636370853,-0.523021244514263,-0.419424608077057,23.4805240445093,21.3151909842838,0.0741246482157379,0.0893596607818598,42,44,18.0907077934473,0.103596636437206
"产品",547.571279999844,512.35925999443,-0.517471232111115,-0.663294081175994,25.6048184411788,12.6499532749718,0.0836428013496524,0.0549694182597809,50,50,-35.2120200054147,-0.14582284906488
"产物",626.57892307008,629.589777806472,-0.166580090130519,-0.295071817685279,33.4398493300326,23.902359848197,0.11174051784147,0.0794152260311695,39,45,3.01085473639228,-0.128491727554759
"亲密",560.610288473071,537.247117640838,-0.514848052356165,-0.531310212092201,20.4533022655235,15.6175967283324,0.0685342476987929,0.0831958370146026,52,51,-23.3631708322324,-0.016462159736036
"人类",527.046877538646,544.365977269814,-0.615885965371406,-0.560186226468617,24.9142451966568,25.4557717063556,0.087093711145355,0.0843776502111303,49,44,17.3190997311673,0.055699738902789
"人造",563.519156872021,671.864595746175,-0.46246183117508,-0.0867338399219191,27.4765385230168,33.3203057670859,0.0902040729844091,0.112135357839829,51,47,108.345438874154,0.375727991253161
"仁慈",553.726458323064,649.688953119165,-0.476705672955598,-0.204346501983417,23.7072197785059,20.7684663481647,0.087850045387054,0.0732396071001791,48,64,95.9624947961008,0.272359170972181
"仆人",590.568062513015,624.83684444791,-0.40071364793354,-0.160015652263941,26.9242698878084,28.6632887510522,0.0719684509432164,0.103789564490449,48,45,34.2687819348957,0.240697995669599
"仍然",507.556134624365,598.442333331114,-0.659632802315462,-0.451056786172769,16.1552442843113,29.9396836385448,0.0510919489294483,0.0809630730668699,52,51,90.8861987067489,0.208576016142692
"仓库",507.308380955738,524.96206349439,-0.727066174081487,-0.582887496287185,17.8448275074874,20.7899112019323,0.0560794449926827,0.066983502516579,42,63,17.6536825386512,0.144178677794302
"仪器",533.746693893019,603.465265302648,-0.584698915409027,-0.361995421565356,23.220204423315,22.9323995639174,0.0849048783353474,0.0723010459638958,49,49,69.7185714096295,0.222703493843671
"仪表",597.714659560918,624.33171739358,-0.364784214645046,-0.323875129128383,22.1000152906844,36.1901731228172,0.0792539862175378,0.103505656564567,47,46,26.6170578326623,0.0409090855166633
"价钱",614.687764719822,590.579761897908,-0.262742720699316,-0.380052066838595,33.1137372933879,30.8066168155964,0.10389644303722,0.103356179064983,51,42,-24.1080028219139,-0.117309346139279
"企业",535.146148936267,593.900244894817,-0.559403708142846,-0.392265421497229,22.4146159034256,27.5328841731596,0.0697515127128676,0.0864405360101925,47,49,58.7540959585505,0.167138286645617
"伏特加",569.25626667097,685.011900002218,-0.416958966293454,0.0414871324033149,19.7296717945142,30.7538434846666,0.0753858166935329,0.095329085664379,45,40,115.755633331248,0.458446098696769
"优雅",544.635041656349,528.934823529419,-0.588160018658905,-0.588552486016623,32.85254406918,15.59405817812,0.0813194650455198,0.0627169001773734,48,68,-15.7002181269305,-0.000392467357717918
"会议",554.667772734192,571.796047647859,-0.593958413997171,-0.468156022062398,29.021118776539,25.0631341393187,0.0937177699948035,0.0748896917538871,44,63,17.1282749136666,0.125802391934773
"伟大",523.13975925877,542.475690915098,-0.592928236433867,-0.593589217903257,18.8980546694446,28.4463328852375,0.0646536596621917,0.0805530770043395,54,55,19.3359316563282,-0.000660981469390198
"传奇",564.635428560195,546.244411781737,-0.553677179802261,-0.600591028119772,48.6778672574171,28.581559160574,0.0957141034991344,0.0864415363147193,42,51,-18.3910167784588,-0.0469138483175114
"传真",633.302638288839,676.142758618061,-0.278702810747103,-0.0483394413354293,29.0099537711846,24.404428658381,0.0919716027617467,0.0803252692730584,47,58,42.840120329222,0.230363369411673
